paperCount,citationCount,mutual_edge,ego_edge,hub,authority,average_degress,density,shortest_path,transitivity,num_community,node,neighbour_paper_mean,neighbour_citation_mean,neighbour_gender_ratio,gender,2015Ranking,ElectionYear,new_Id,subject
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,41,1970,2009815026,34
0.186164802,0.186239683,0,0,1,0.018338727,0,1,0,-1,0,4.07E-05,0.410721421,0.247303545,0.365033927,0,1,1970,2319408275,14
0.02034588,0.014851103,0,0,0.333333334,0.682847896,0.005316356,0.249224556,0.221447691,0,0,1.13E-05,0,0,0,0,1,1970,880213029,14
0.604272635,0.215106907,0.352065255,0.379597315,1,0.97155114,0.021141065,0.016528074,1,0.449687156,0.380952381,0.000486016,0.746159596,0.308436054,0.281211322,0,1,1971,2241972228,14
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,1972,2124948595,12
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.73E-07,0.214565382,0.164337951,0,0,0,1972,1900674165,13
0.48199853,0.348702838,0,0.016666667,1,0,0,0.525711319,0.142663061,0,0,0.000361819,0.192795571,0.05057235,0.257670244,0,86,1972,2049461923,52
0.445066124,0.219571408,0.262067515,0.149304348,1,0.995251898,0.029356714,0.003130143,0.643072572,0.132404315,0.666666667,0.003235583,0.498621681,0.194056808,0.309884916,0,19,1972,2108475063,14
0.167060678,0.353389609,0.06741573,0,1,0.554574639,0.112502377,0.066562955,0.764752974,0.04109589,0.25,0.002159618,0.553969008,0.268579884,0.185557857,0,6,1972,444347517,54
0.21273123,0.387086928,0.103380353,0.035361181,1,0.614571645,0.001810897,0.022699899,0.868487939,0.088657356,0.45,0.000137511,0.147126437,0.15266444,0.154521796,0,28,1972,2142044151,13
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,1973,2032694149,13
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,1973,2056320958,13
0.219804135,0.293213318,0,0.016558726,1,0.202861032,0,0.299659936,0.077278143,0,0,3.60E-05,0.239762562,0.552589847,0.25198939,0,0,1973,1417201204,13
0.122959739,0.300071635,0.551394586,0.183778533,1,0.961114104,0.008523764,0.190446818,0.236308488,0.46150174,0.2,0.000120484,0.081215809,0.125721094,0.224137931,0,7,1973,209138651,13
